name,url,category,priority
CasinoGuide,https://www.casinoguide.com,Casino Reviews,1
BettingExpert,https://www.bettingexpert.com,Sports Betting,1
AskGamblers,https://www.askgamblers.com,Casino Reviews,1
Casino.org,https://www.casino.org,Casino Reviews,1
Gambling.com,https://www.gambling.com,General Gambling,1
SlotsUp,https://www.slotsup.com,Slot Games,2
PokerNews,https://www.pokernews.com,Poker,1
CardPlayer,https://www.cardplayer.com,Poker,2
BettingPro,https://www.bettingpro.com,Sports Betting,2
OddsChecker,https://www.oddschecker.com,Odds Comparison,1
ThePuntersPage,https://www.punterspage.com,Horse Racing,2
TimeForm,https://www.timeform.com,Horse Racing,1
CasinoListings,https://www.casinolistings.com,Casino Reviews,2
LatestCasinoBonuses,https://www.latestcasinobonuses.com,Casino Bonuses,1
BonusFinder,https://www.bonusfinder.com,Casino Bonuses,1
SportsBettingDime,https://www.sportsbettingdime.com,Sports Betting,2
VegasSlotsOnline,https://www.vegasslotsonline.com,Slot Games,1
OnlineCasinos,https://www.onlinecasinos.com,Casino Reviews,2
NewCasinos,https://www.newcasinos.org,New Casinos,2
CasinoBonusCA,https://www.casinobonusca.com,Casino Bonuses,3
